nom,lon,lat
Mémorial des Camps de la Mort (fermé pour travaux ),5.364059,43.299884
Musée de la Moto,5.403929,43.328791
Cabinet des Monnaies et Médailles,5.385708,43.310036
Centre International de la Poésie,5.368016,43.300082
Centre de Conservation et de Ressources du MuCEM,5.3878938,43.307964
Entre mer et collines,5.038963,43.33088
Ciergerie de l'Abbaye des Prémontrés,4.689016,43.795756
Collection privée de l'artisanat des tranchées 1914-1918,4.7938352,43.8518188
Crèche du Mas Grichaud,4.849889,43.892444
Musée des outils agraires,4.85547,43.883121
La Non-Maison - Micro centre d'Art,5.454249,43.526011
Musée de Région Auguste Chabaud,4.772264,43.851514
Museon Arlaten,4.625983,43.676486
Museum d'histoire naturelle,5.42516,43.532674
Musée Monticelli,5.293515,43.359711
"Granet XXe, collection Jean Planque",5.453779,43.526569
Musée Suffren et du Vieux Saint-Cannat,5.296409,43.621667
Musée Raimu,5.216647,43.41634
Musée de la Camargue,4.528127,43.624007
La Capelière - Société Nationale de Protection de la Nature - Réserve Nationale de Camargue,4.642925,43.535234
Maison natale de Marcel Pagnol,5.566469,43.292708
Musée Arteum,5.568994,43.48907
Musée Martin Duby,5.63251,43.369833
Fondation Saint John Perse,5.439458,43.524035
La Buzine - Maison des Cinématographies de la Méditerranée,5.502398,43.295665
Musée Ciotaden,5.608019,43.174331
Tour-musée de Velaux,5.249279,43.460427
Musée de Calès,5.089137,43.753755
Ecomusée de la Forêt Méditerranéenne,5.4672962,43.4590719
Musée de géologie et d'ethnographie,5.309143,43.717101
La Petite Provence du Paradou,4.77739,43.720347
Le Château Féodal des Comtes de Provence,4.834354,43.8833
Site - Mémorial du Camp des Milles,5.383,43.503289
Musée de Ventabren,5.293317,43.539247
Musée Baroncelli,4.428138,43.45112
Four Banal,5.5374131,43.2150304
Maison de Nostradamus,5.097813,43.641049
Mémorial d'évocation vaudois et huguenot,5.310559,43.715411
Musée provençal des transports,5.554128,43.457583
Musée d'arts et traditions populaires,5.215335,43.417341
Centre d'Art Contemporain,4.988021,43.512902
Musée Grévin de la Provence,5.09816,43.639899
Mémorial de la Marseillaise,5.378753,43.2978723
Maison de la Crau,4.803257,43.636526
Villa Méditerranée,5.361274,43.296847
Musée Cantini,5.378425,43.292512
Pavillon de Vendôme,5.442115,43.530964
Atelier de Cézanne,5.446216,43.53907
"Musée de l'Empéri, de Salon et de la Crau et salle Théodore Jourdan",5.098425,43.638462
Musée Ziem,5.054387,43.408532
Cinémathèque Gnidzaz Martigues,5.05476,43.408204
Musée des Santons des Baux,4.794982,43.744741
Musée de l'Ecole et de l'Education,5.4825739,43.336148
Musée Granet,5.452641,43.525461
Souleïado - Musée du Tissu Provençal,4.659576,43.804832
Musée des Tapisseries,5.447809,43.531532
"Musée d'Arts Africains, Océaniens et Amérindiens",5.368016,43.300082
Musée du Terroir Marseillais - Espace Pignol,5.438916,43.352174
Musée d'Art Contemporain (MAC),5.391365,43.252193
Musée d'Histoire de Marseille,5.3772,43.314249
Collection Ornithologique,4.805679,43.384298
Musée des Beaux-Arts,5.396862,43.305131
Musée d'Allauch,5.509247,43.3609248
Fondation Vincent Van Gogh Arles,4.625781,43.678193
Galerie de l'Histoire de Martigues,5.048119,43.405759
Les Marais du Vigueirat,4.784739,43.513358
Préau des Accoules - Espace des Enfants,5.367363,43.297696
Musée Regards de Provence,5.363523,43.297476
Domaine de La Palissade,4.6991,43.39259
Puits de Mine Hély d'Oissel/ Musée de la mine,5.54699,43.424807
Maison de la construction navale,5.6067328,43.17240570000001
Musée municipal Paul Lafran,5.034038,43.549521
Musée de plein air Paul Cézanne,5.48555,43.458541
Musée Yves Brayer,4.794479,43.743684
Musée d'art local et d'archéologie de lambesc,5.261829,43.651131
Conservatoire du Patrimoine Médical de Marseille,5.4093066,43.2648688
Musée Gardanne Autrefois,5.469295,43.454638
"Le Château Borély, musée des Arts Décoratifs et de la Mode",5.38197,43.257143
Hôtel de Gallifet - Centre d'Art,5.448089,43.525122
Musée des Civilisations d'Europe et Méditerranée MuCEM,5.361671,43.29687
Musée rural d'histoire locale,5.639975,43.637362
Musée Réattu,4.627937,43.679141
Musée départemental Arles antique,4.616425,43.672466
Carrières de Lumières,4.796734,43.748576
"La cité de l'art santonnier, Thérèse Neveu",5.571006,43.293026
Musée d'Archéologie Méditerranéenne,5.368016,43.300082
Muséum d'Histoire Naturelle,5.393128,43.30371
Fondation Vasarely,5.424843,43.521357
